start_time,end_time
2011-09-09 12:42:00,2011-09-10 15:00:00
2011-09-16 19:00:00,2011-09-17 05:00:00
2011-09-17 03:43:00,2011-09-18 06:00:00
2011-09-18 10:00:00,2011-09-18 21:00:00
2011-09-22 03:00:00,2011-09-23 03:00:00
2011-09-26 12:34:00,2011-09-28 15:00:00
2011-10-05 07:36:00,2011-10-05 22:00:00
2011-10-06 12:00:00,2011-10-06 23:00:00
2011-10-07 02:47:00,2011-10-07 17:00:00
2011-10-22 21:00:00,2011-10-23 16:00:00
2011-10-24 18:31:00,2011-10-25 16:00:00
2011-10-30 10:01:00,2011-10-31 15:00:00
2011-11-01 09:07:00,2011-11-03 04:00:00
2011-11-07 15:00:00,2011-11-07 23:00:00
2011-11-12 05:59:00,2011-11-15 02:00:00
2011-11-28 21:50:00,2011-11-29 08:00:00
2011-12-02 17:17:00,2011-12-03 07:00:00
2011-12-25 02:00:00,2011-12-25 17:00:00
2011-12-29 22:00:00,2011-12-30 09:00:00
2012-01-21 05:01:00,2012-01-22 08:00:00
2012-01-22 06:11:00,2012-01-23 07:00:00
2012-02-14 07:00:00,2012-02-16 06:00:00
2012-02-16 07:00:00,2012-02-18 00:00:00
2012-02-26 21:39:00,2012-02-28 16:00:00
2012-02-29 05:00:00,2012-03-01 00:00:00
2012-03-02 21:00:00,2012-03-04 02:00:00
2012-03-06 08:00:00,2012-03-06 15:00:00
2012-03-08 11:03:00,2012-03-11 07:00:00
2012-03-15 13:06:00,2012-03-16 10:00:00
2012-04-23 03:20:00,2012-04-24 05:00:00
2012-04-25 17:00:00,2012-04-27 18:00:00
2012-05-16 16:00:00,2012-05-17 22:00:00
2012-06-08 07:00:00,2012-06-10 14:00:00
2012-06-16 20:19:00,2012-06-17 12:00:00
2012-07-04 19:00:00,2012-07-06 08:00:00
2012-07-08 08:00:00,2012-07-09 14:00:00
2012-07-14 18:09:00,2012-07-17 05:00:00
2012-07-21 16:12:00,2012-07-23 16:00:00
2012-09-01 06:00:00,2012-09-03 15:00:00
2012-09-03 12:13:00,2012-09-05 02:00:00
2012-09-04 22:45:00,2012-09-05 18:00:00
2012-09-06 02:00:00,2012-09-06 15:00:00
2012-09-30 11:31:00,2012-09-30 20:00:00
2012-09-30 23:05:00,2012-10-02 00:00:00
2012-10-02 22:00:00,2012-10-03 06:00:00
2012-10-08 05:16:00,2012-10-09 12:00:00
2012-10-12 19:00:00,2012-10-13 10:00:00
2012-10-31 15:38:00,2012-11-02 03:00:00
2012-11-09 03:00:00,2012-11-09 15:00:00
2012-11-12 23:11:00,2012-11-14 03:00:00
2012-11-23 21:52:00,2012-11-25 10:00:00
2012-11-26 05:12:00,2012-11-28 05:00:00
2012-11-28 18:00:00,2012-11-29 14:00:00
2012-12-14 02:00:00,2012-12-14 17:00:00
2013-01-17 16:00:00,2013-01-18 12:00:00
2013-01-18 12:37:00,2013-01-19 17:00:00
2013-02-13 17:00:00,2013-02-16 14:00:00
2013-02-16 12:09:00,2013-02-17 19:00:00
2013-03-17 05:59:00,2013-03-19 16:00:00
2013-03-20 17:00:00,2013-03-20 22:00:00
2013-04-13 22:54:00,2013-04-15 23:00:00
2013-04-30 09:49:00,2013-05-01 07:00:00
2013-05-01 09:00:00,2013-05-01 18:00:00
2013-05-25 20:00:00,2013-05-26 22:00:00
2013-06-06 02:55:00,2013-06-08 00:00:00
2013-06-08 06:00:00,2013-06-08 20:00:00
2013-06-27 14:38:00,2013-06-29 12:00:00
2013-07-05 01:00:00,2013-07-07 16:00:00
2013-07-12 17:14:00,2013-07-15 00:00:00
2013-08-20 22:27:00,2013-08-21 14:00:00
2013-08-22 19:26:00,2013-08-25 03:00:00
2013-08-24 00:03:00,2013-08-26 03:00:00
2013-10-02 01:54:00,2013-10-03 22:00:00
2013-10-08 20:20:00,2013-10-11 00:00:00
2013-11-08 22:00:00,2013-11-09 07:00:00
2013-11-11 17:00:00,2013-11-12 03:00:00
2013-11-30 20:00:00,2013-12-02 23:00:00
2013-12-15 13:00:00,2013-12-16 05:00:00
2013-12-24 21:00:00,2013-12-25 17:00:00
2014-02-05 14:00:00,2014-02-07 17:00:00
2014-02-07 17:05:00,2014-02-09 12:00:00
2014-02-10 18:00:00,2014-02-13 10:00:00
2014-02-15 13:16:00,2014-02-16 16:00:00
2014-02-17 03:00:00,2014-02-17 16:00:00
2014-02-18 06:40:00,2014-02-19 07:00:00
2014-02-19 03:48:00,2014-02-20 03:00:00
2014-02-20 03:18:00,2014-02-22 12:00:00
2014-04-05 10:00:00,2014-04-07 05:00:00
2014-04-11 06:00:00,2014-04-12 20:00:00
2014-04-18 19:00:00,2014-04-20 00:00:00
2014-04-19 18:36:00,2014-04-20 12:00:00
2014-04-20 10:56:00,2014-04-22 09:00:00
2014-04-29 20:00:00,2014-04-30 21:00:00
2014-06-07 16:52:00,2014-06-10 17:00:00
2014-08-19 06:57:00,2014-08-21 05:00:00
2014-09-12 15:53:00,2014-09-14 02:00:00
2014-09-17 02:00:00,2014-09-18 20:00:00
2014-11-10 02:20:00,2014-11-11 20:00:00
2014-12-21 19:11:00,2014-12-22 17:00:00
2015-01-02 07:17:00,2015-01-02 22:00:00
2015-01-03 14:00:00,2015-01-04 16:00:00
2015-01-07 06:16:00,2015-01-07 20:00:00
2015-03-16 14:00:00,2015-03-16 23:00:00
2015-03-17 04:45:00,2015-03-18 05:00:00
2015-03-21 20:54:00,2015-03-22 20:00:00
2015-03-28 00:00:00,2015-03-29 11:00:00
2015-03-29 15:00:00,2015-03-30 12:00:00
2015-03-31 08:32:00,2015-04-01 10:00:00
2015-04-09 10:11:00,2015-04-09 22:00:00
2015-04-10 00:00:00,2015-04-11 09:00:00
2015-05-06 01:41:00,2015-05-07 21:00:00
2015-05-07 21:00:00,2015-05-09 04:00:00
2015-05-10 12:00:00,2015-05-11 02:00:00
2015-05-18 19:00:00,2015-05-19 02:00:00
2015-06-22 18:33:00,2015-06-24 14:00:00
2015-06-24 13:29:00,2015-06-26 06:00:00
2015-06-26 06:00:00,2015-06-27 02:00:00
2015-07-13 01:38:00,2015-07-14 15:00:00
2015-08-07 06:00:00,2015-08-08 14:00:00
2015-08-15 08:29:00,2015-08-16 08:00:00
2015-08-26 08:00:00,2015-08-28 10:00:00
2015-09-07 14:00:00,2015-09-09 15:00:00
2015-09-13 07:00:00,2015-09-13 18:00:00
2015-09-20 06:04:00,2015-09-22 01:00:00
2015-10-24 18:54:00,2015-10-27 04:00:00
2015-11-04 03:55:00,2015-11-04 19:00:00
2015-11-06 18:18:00,2015-11-08 16:00:00
2015-12-19 16:16:00,2015-12-21 20:00:00
2015-12-31 00:50:00,2016-01-02 11:00:00
2016-01-18 21:57:00,2016-01-21 00:00:00
2016-01-24 14:00:00,2016-01-26 18:00:00
2016-03-05 10:00:00,2016-03-06 15:00:00
2016-03-20 07:00:00,2016-03-21 04:00:00
2016-04-14 07:35:00,2016-04-15 04:00:00
2016-04-17 03:00:00,2016-04-18 08:00:00
2016-07-19 23:05:00,2016-07-22 15:00:00
2016-07-24 15:00:00,2016-07-25 16:00:00
2016-07-25 22:00:00,2016-07-26 10:00:00
2016-08-02 14:00:00,2016-08-03 03:00:00
2016-10-12 22:01:00,2016-10-14 16:00:00
2016-11-04 18:00:00,2016-11-05 21:00:00
2016-11-09 06:04:00,2016-11-10 16:00:00
2017-04-04 01:00:00,2017-04-04 14:00:00
2017-04-09 00:00:00,2017-04-10 08:00:00
2017-04-13 15:00:00,2017-04-15 00:00:00
2017-05-27 15:34:00,2017-05-29 14:00:00
2017-07-16 05:59:00,2017-07-17 20:00:00
2017-08-21 22:00:00,2017-08-23 18:00:00
2017-09-06 23:47:00,2017-09-08 04:00:00
2017-09-07 23:02:00,2017-09-10 21:00:00
2017-12-25 00:00:00,2017-12-26 04:00:00
2018-03-09 18:09:00,2018-03-11 00:00:00
2018-05-13 06:00:00,2018-05-13 14:00:00
2018-06-06 11:00:00,2018-06-07 10:00:00
2018-06-25 09:10:00,2018-06-26 05:00:00
2018-06-30 13:00:00,2018-07-02 10:00:00
2018-07-10 12:00:00,2018-07-11 11:00:00
2018-08-25 02:00:00,2018-08-26 12:00:00
2018-09-23 04:00:00,2018-09-24 00:00:00
2019-05-07 22:00:00,2019-05-09 04:00:00
2019-05-10 17:54:00,2019-05-13 07:00:00
2019-05-13 23:26:00,2019-05-15 16:00:00
2019-05-16 21:00:00,2019-05-18 08:00:00
2019-05-26 22:14:00,2019-05-28 00:00:00
2019-10-29 20:00:00,2019-10-30 21:00:00
2019-11-02 21:00:00,2019-11-03 05:00:00
2019-11-11 06:00:00,2019-11-12 12:00:00
2020-01-04 10:00:00,2020-01-05 06:00:00
2020-04-20 02:33:00,2020-04-21 04:00:00
2020-10-05 08:06:00,2020-10-06 14:00:00
2020-12-10 02:10:00,2020-12-13 04:00:00
